version,t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,e,a,simulation_runs,max_complexity,mean_complexity,has_phase_change,time_to_complexity
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,19.054607179632523,3.0084542181311886,True,1672
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,47.863009232263806,4.476885461636295,False,2872
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,39810717.05534969,494526.973100931,True,391
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,3019951720402.019,12434319923.594276,False,4309
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,758577575.0291821,10159698.770003475,True,772
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,5754399373.371543,67678018.86812298,True,931
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,1000000.0,34488.134785293754,True,365
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,3311311214.8259077,28173206.042742267,True,599
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,5248074602497.712,46077564955.922646,False,3137
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,1000000.0,21811.260773538364,True,232
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,30199517204.02019,322456700.63185847,True,1806
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0,10,19054607179632.367,254176387643.1919,True,912
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,69183097.09189363,994552.0703722481,False,421
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,912010839.3559041,4849858.454871447,True,2679
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,83176377.11026709,844739.1105664524,False,2351
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,109647819614.31828,841724395.3864268,False,1128
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,691830.9709189363,18600.47670894787,True,479
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,301995172.04019946,2676577.1586482725,True,2340
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,120226443.46174082,1282230.6877944455,True,1320
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,69183097.09189363,784192.8979321271,True,1587
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,3981071705.534953,55498394.19695792,False,1329
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,10,22908676.527677793,149329.75720768483,True,1505
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,478630.092322638,32720.270698425586,True,329
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,39810717.05534969,864500.4926240246,True,1696
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,478630.092322638,17576.124745244833,True,449
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,7585775.750291851,161021.37530622614,True,633
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,43651.58322401666,2434.546785412374,True,167
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,5248074.602497734,81793.81073569672,True,730
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,363078054.7701003,3444752.220179776,True,934
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,691830.9709189363,15255.812110042098,True,303
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,301995172.04019946,6183432.288149955,True,1150
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,10,7585775750291.82,36118872420.09105,True,1444
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,331131.1214825908,3189.82475594913,True,462
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,1096478196.1431828,5810327.6449778145,True,2123
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,2089296.1308540408,42246.90792883166,True,483
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,831763.7711026708,21228.25444963196,False,654
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,275422.87033381633,4878.784550652582,True,427
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,6309573.444801942,144084.78615044153,True,325
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,8317637711.026674,132813361.68785742,True,1299
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,4786300923.22638,28719412.29582048,False,1300
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,1737800.8287493763,20358.020860141136,True,799
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,10,275422.87033381633,3287.336881994599,True,769
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,5248074.602497734,43800.544982495456,True,230
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,120226443.46174082,812489.1155976935,True,2253
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,36307.80547701017,1243.0571379339815,True,196
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,1202264.4346174132,20999.644784330587,True,479
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,4365158.322401665,46079.19113292027,True,709
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,10964781.961431874,200151.4306374658,False,1516
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,912010839.3559041,16833289.63928627,True,1384
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,478630.092322638,4987.900749249419,False,3330
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,158489.31924611173,1995.239988878997,True,283
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,10,12022644346.174082,89644360.34676419,False,3967
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1,10,109647.81961431874,4106.556936825195,True,637
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1,10,109647.81961431874,1119.3867667697389,True,454
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1,10,109647.81961431874,1728.4509113297247,True,463
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1,10,173780082.8749369,1006368.5808288744,False,1039
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1,10,1737800.8287493763,19048.121558149523,False,1432
